country,happiness_rank,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia_residual,internet_access_population[%],cellular_subscriptions[%],surplus_deficit_gdp[%],familiy_income_gini_coeff,gdp_per_capita[$],inflation_rate[%],military_expenditures[%_of_gdp],map_reference,biggest_official_language,population
Israel,11,7.2129998207,1.3753824234,1.3762899637,0.8384039998,0.4059886038,0.330082655,0.0852421001,2.8017573357,79.8,127,-2.7,42.8,,0.2,5.62,Middle East,Hebrew,8299706
Costa Rica,12,7.0789999962,1.1097062826,1.4164036512,0.7595092654,0.58013165,0.214613229,0.1001065895,2.8986392021,66,179,-5.2,48.5,,1.6,,Central America and the Caribbean,Spanish,4930258
Austria,13,7.006000042,1.4870972633,1.4599449635,0.8153284192,0.5677661896,0.3164723217,0.2210603654,2.1385064125,84.3,170,-1.2,30.5,,2.2,0.58,Europe,German,8754413
United States,14,6.9930000305,1.546259284,1.4199205637,0.7742866278,0.5057405233,0.3925787807,0.1356387883,2.2181134224,76.2,121,-3.4,45,,2.1,3.29,North America,English,326625791
Ireland,15,6.9770002365,1.5357066393,1.5582311153,0.8097826242,0.573110342,0.4278583229,0.2983881533,1.7738690376,82.2,98,-0.6,31.3,,0.3,0.34,Europe,English,5011102
Germany,16,6.9510002136,1.4879233837,1.4725203514,0.7989507318,0.5625113845,0.33626917,0.2767319381,2.0157699585,89.6,132,0.7,27,,1.7,1.2,Europe,German,80594017
Belgium,17,6.890999794,1.4637807608,1.4623126984,0.8180918694,0.5397707224,0.2315033376,0.2513431311,2.1242103577,86.5,104,-1.5,25.9,,2.2,0.9,Europe,Dutch,11491346
Luxembourg,18,6.8629999161,1.7419435978,1.4575836658,0.8450894952,0.5966278911,0.2831809819,0.318834424,1.6195120811,97.5,134,0.5,30.4,,2.1,0.54,Europe,Luxembourgish,594130
United Kingdom,19,6.7140002251,1.4416339397,1.4964600801,0.8053359389,0.5081900358,0.4927741587,0.2654280663,1.7041435242,94.8,121,-3.6,32.4,,2.7,2.2,Europe,English,65648100
Chile,20,6.6519999504,1.2527846098,1.2840249538,0.8194797039,0.3768952787,0.3266624212,0.0822879821,2.5095858574,66,129,-3.1,50.5,,2.2,1.87,South America,Spanish,17789267
United Arab Emirates,21,6.6479997635,1.6263433695,1.2664102316,0.7267982364,0.6083452702,0.3609419465,0.3244895637,1.7347035408,90.6,326,-7.6,45.9,,2,4.86,Middle East,Arabic,6072475
Brazil,22,6.6350002289,1.1073532104,1.4313060045,0.6165523529,0.4374537468,0.1623498946,0.1110927612,2.7692670822,59.7,114,-1.3,49,,3.4,1.32,South America,Portuguese,207353391
Czech Republic,23,6.609000206,1.3526823521,1.4338852167,0.7544440031,0.4909461737,0.0881067589,0.0368729271,2.4518618584,76.5,118,0.4,25,,2.4,0.98,Europe,Czech,10674723
Argentina,24,6.5989999771,1.1852954626,1.4404511452,0.6951370835,0.4945192039,0.1094570607,0.0597398877,2.6140053272,70.2,140,-6.1,41.7,,25.7,0.95,South America,Spanish,44293293
Mexico,25,6.5780000687,1.1531838179,1.2108621597,0.7099789977,0.4127300084,0.1209904328,0.1327741146,2.8371548653,59.5,92,-1.9,48.2,,6,0.58,North America,Spanish,124574795
Singapore,26,6.5720000267,1.6922776699,1.3538143635,0.9494923949,0.5498405695,0.3459659815,0.464307785,1.2163619995,81,144,1.8,45.9,,0.6,3.35,Southeast Asia,English,5888926
Malta,27,6.5269999504,1.3432798386,1.488411665,0.8219442368,0.5887670517,0.5747305751,0.1530660689,1.5568628311,77.3,135,-0.5,28.1,,1.3,0.53,Europe,Maltese,416338
Uruguay,28,6.4539999962,1.2175596952,1.412227869,0.7192168236,0.5793922544,0.1750969291,0.1780618727,2.1724095345,66.4,152,-3.7,41.6,,6.2,1.85,South America,Spanish,3360148
Guatemala,29,6.4539999962,0.872001946,1.2555851936,0.5402399898,0.5313106179,0.2834883928,0.0772232786,2.8938910961,34.5,129,-3.2,53,,4.4,0.39,Central America and the Caribbean,Spanish,15460732
Panama,30,6.4520001411,1.233748436,1.3731925488,0.7061561346,0.550026834,0.2105569392,0.070983924,2.307199955,54,159,-1.6,50.7,,0.9,,Central America and the Caribbean,Spanish,3753142
France,31,6.4419999123,1.4309234619,1.3877768517,0.8444658518,0.4702221155,0.1297623068,0.1725024283,2.0059547424,85.6,103,-2.7,29.3,,1.2,2.26,Europe,French,67106161
Thailand,32,6.4239997864,1.1278687716,1.4257924557,0.6472390294,0.5802007318,0.5721231103,0.0316127352,2.0395083427,47.5,178,-2.5,44.5,,0.7,1.5,Southeast Asia,Thai,68414135
Taiwan,33,6.4219999313,1.4336265326,1.3845653534,0.7939842343,0.3614665866,0.2583604753,0.0638292357,2.1266074181,88,122,0.2,33.6,,0.6,,Southeast Asia,Mandarin Chinese,23508428
Spain,34,6.4029998779,1.3843978643,1.5320909023,0.8889605999,0.4087812304,0.1901335716,0.0709140971,1.92775774,80.6,107,-3.3,35.9,,2,0.91,Europe,Castilian Spanish,48958159
Qatar,35,6.375,1.870765686,1.2742968798,0.7100980878,0.6041309834,0.33047387,0.4392992556,1.1454644203,94.3,169,-6.2,41.1,,0.4,,Middle East,Arabic,2314307
Colombia,36,6.3569998741,1.0706223249,1.4021829367,0.5950279236,0.4774874151,0.149014473,0.0466687419,2.6160681248,58.1,130,-3.4,51.1,,4.3,3.5,South America,Spanish,47698524
Saudi Arabia,37,6.3439998627,1.5306235552,1.286677599,0.5901483297,0.4497505724,0.1476160139,0.2734322548,2.0654296875,73.8,141,-8.8,45.9,,-0.9,9.85,Middle East,Arabic,28571770
Trinidad and Tobago,38,6.1680002213,1.3613559008,1.3802285194,0.5199832916,0.518630743,0.3252964616,0.0089648161,2.0532474518,69.2,167,-4.5,40.3,,1.9,1.12,Central America and the Caribbean,English,1218208
Kuwait,39,6.1050000191,1.6329524517,1.2596987486,0.6321057081,0.4963375926,0.2282897979,0.2151595503,1.6404252052,78.4,179,-7.2,,,1.5,4.83,Middle East,Arabic,2875422
Slovakia,40,6.0980000496,1.3253935575,1.5050592422,0.7127329111,0.2958174646,0.1365444809,0.0242108516,2.0977766514,80.5,131,-1.5,23.7,,1.3,1.16,Europe,Slovak,5445829
Bahrain,41,6.0869998932,1.488412261,1.3231104612,0.6531330347,0.5367469192,0.1726684868,0.2570421696,1.6561493874,98,168,-10.3,,,1.4,4.59,Middle East,Arabic,1410942
Malaysia,42,6.0840001106,1.2912154198,1.2846460342,0.6187844276,0.4022649825,0.4166089296,0.0656007081,2.0044488907,78.8,135,-2.9,46.2,,3.8,1.41,Southeast Asia,Bahasa Malaysia,31381992
Nicaragua,43,6.0710000992,0.7372992039,1.2872157097,0.6530959606,0.4475518465,0.301674217,0.1306879818,2.5139305592,24.6,136,-2,47.1,,3.9,0.55,Central America and the Caribbean,Spanish,6025951
Ecuador,44,6.007999897,1.0008203983,1.2861688137,0.6856362224,0.4551981986,0.150112465,0.1401346475,2.2903525829,54.1,85,-5.5,45.9,,0.4,1.7,South America,Spanish,16290913
El Salvador,45,6.0029997826,0.9097844958,1.1821250916,0.5960185528,0.4324525297,0.0782579854,0.0899809599,2.7145938873,29,162,-3.6,36,,1,0.87,Central America and the Caribbean,Spanish,6172011
Poland,46,5.9730000496,1.2917878628,1.4457119703,0.699475348,0.5203421116,0.1584659666,0.0593078062,1.7977228165,73.3,130,-2.3,30.8,,2,1.99,Europe,Polish,38476269
Uzbekistan,47,5.9710001945,0.7864410877,1.5489691496,0.4982726276,0.6582486629,0.4159836471,0.2465282232,1.8169136047,46.8,82,0.3,36.8,,12.5,,Asia,Uzbek,29748859
Italy,48,5.9640002251,1.3950666189,1.4449232817,0.8531443477,0.2564507127,0.1727896482,0.0280280914,1.8133120537,61.3,135,-2.3,31.9,,1.3,1.12,Europe,Italian,62137802
Russia,49,5.9629998207,1.2817780972,1.4692823887,0.5473493338,0.3737831116,0.0522638224,0.032962881,2.2056074142,76.4,160,-2.3,41.2,,3.7,5.4,Asia,Russian,142257519
Belize,50,5.9559998512,0.907975316,1.081417799,0.450191766,0.5475093722,0.2400156409,0.0965810716,2.6319556236,44.6,63,-2.7,53.3,,1.1,1.17,Central America and the Caribbean,English,360346
Japan,51,5.9200000763,1.4169151783,1.4363378286,0.9134758711,0.505625546,0.1205727682,0.1637607366,1.3632235527,92,135,-4.6,37.9,,0.5,0.93,Asia,Japanese,126451398
Lithuania,52,5.9019999504,1.3145823479,1.4735161066,0.6289499402,0.2342317849,0.0101646567,0.0118656429,2.2284405231,74.4,154,0,37.9,,3.7,2,Europe,Lithuanian,2823859
Algeria,53,5.8720002174,1.0918644667,1.1462174654,0.6175846457,0.2333358079,0.069436647,0.1460961103,2.5676038265,42.9,122,-10.6,35.3,,5.6,6.55,Africa,Arabic,40969443
Latvia,54,5.8499999046,1.2607486248,1.404714942,0.6385669708,0.3257079124,0.1530747861,0.0738427266,1.9936552048,79.9,127,-0.5,34.5,,2.9,1.7,Europe,Latvian,1944643
South Korea,55,5.8379998207,1.401678443,1.1282744408,0.900214076,0.2579216659,0.2066743672,0.0632826686,1.8803780079,89.9,124,1,35.7,,1.9,2.7,Asia,Korean,51181299
Moldova,56,5.8379998207,0.7288706303,1.2518255711,0.5894652009,0.2407290488,0.2087791264,0.0100912862,2.8078083992,71,105,-0.8,26.8,,6.6,0.37,Europe,Moldovan/Romanian,3474121
Romania,57,5.8249998093,1.2176839113,1.1500912905,0.6851583123,0.4570037425,0.1335199177,0.0043879007,2.1768314838,59.5,105,-3.1,27.3,,1.3,1.42,Europe,Romanian,21529967
Bolivia,58,5.8229999542,0.833756566,1.2276190519,0.4736302495,0.5587329268,0.2255607247,0.0604777262,2.4432790279,39.7,91,-6.2,47,,2.8,1.5,South America,Spanish,11138234
Turkmenistan,59,5.8220000267,1.130776763,1.4931491613,0.4377260804,0.418271929,0.2499249876,0.2592703402,1.8329098225,18,160,-0.6,40.8,,8,,Asia,Turkmen,5351277
Kazakhstan,60,5.8189997673,1.2845562696,1.3843690157,0.6060415506,0.4374542832,0.2019644231,0.1192828864,1.7848925591,76.8,143,-2.3,26.3,,7.4,0.82,Asia,Kazakh,18556698
Northern Cyprus,61,5.8099999428,1.3469113111,1.1863033772,0.8346472383,0.4712036252,0.2668457031,0.1553533524,1.5491576195,75.9,96,-0.9,34.8,,0.7,1.78,Middle East,Greek,1221549
Slovenia,62,5.757999897,1.3412059546,1.4525188208,0.790828228,0.5725758076,0.2426490933,0.0451289788,1.3133172989,75.5,124,-0.7,24.4,,1.4,0.92,Europe,Slovenian,1972126
Peru,63,5.7150001526,1.0352252722,1.2187703848,0.6301661134,0.4500028789,0.1268197149,0.0470490865,2.2072694302,45.5,125,-2.8,45.3,,2.8,0.9,South America,Spanish,31036656
Mauritius,64,5.6290001869,1.1893955469,1.2095609903,0.638007462,0.4912473261,0.3609337509,0.0421815552,1.6975839138,53.2,136,-3.5,35.9,,3.7,0.19,Africa,Creole,1356388
Cyprus,65,5.6209998131,1.355938077,1.1313632727,0.8447147012,0.3551115394,0.2712543011,0.0412379764,1.6212491989,75.9,96,-0.9,34.8,,0.7,1.78,Middle East,Greek,1221549
Estonia,66,5.611000061,1.3208793402,1.4766710997,0.6951683164,0.4791314304,0.0988908112,0.1832489222,1.3575086594,87.2,152,-0.2,34.8,,3.7,2.17,Europe,Estonian,1251581
Belarus,67,5.5689997673,1.15655756,1.4449452162,0.6377142668,0.2954002619,0.1551375091,0.1563138217,1.7232329845,71.1,115,0.5,26.5,,6,0.93,Europe,Russian,9549747
Libya,68,5.5250000954,1.1018030643,1.3575643301,0.5201690197,0.4657332301,0.1520736665,0.0926102102,1.8350112438,20.3,115,-18,,,28,,Africa,Arabic,6653210
Turkey,69,5.5,1.198274374,1.3377531767,0.6376056075,0.3007405996,0.0466930419,0.0996715799,1.8792779446,58.3,96,-2,40.2,,11.1,1.73,Middle East,Turkish,80845215
Paraguay,70,5.4930000305,0.9325373173,1.5072848797,0.5792506933,0.4735077918,0.2241506577,0.0910659134,1.6853334904,51.3,108,-1.8,51.7,,3.6,1.25,South America,Spanish,6943739
"Hong Kong S.A.R., China",71,5.4720001221,1.5516748428,1.2627909184,0.9430624247,0.4909686446,0.3744657934,0.2939337492,0.5546331406,85,255,5.2,53.9,,1.5,,Southeast Asia,Cantonese,7191503
Philippines,72,5.4299998283,0.8576992154,1.2539175749,0.4680090547,0.5852146745,0.1935134232,0.099331893,1.9726047516,55.5,111,-2.2,44.4,,3.2,1.28,Southeast Asia,Filipino  and English ; eight major dialects - Tagalog,104256076
Serbia,73,5.3949999809,1.0693175793,1.2581897974,0.6507846713,0.2087155282,0.2201258838,0.0409037806,1.9470844269,67.1,121,-1.7,38.7,,3.1,1.34,Europe,Serbian,7111024
Jordan,74,5.3359999657,0.9910123944,1.2390888929,0.6045900583,0.4184211493,0.1721704602,0.1198032722,1.7911765575,62.3,96,-6.6,39.7,,3.3,4.8,Middle East,Arabic,10248069
Hungary,75,5.3239998817,1.2860119343,1.3431330919,0.6877634525,0.1758635193,0.0784016624,0.0366369374,1.7164592743,79.3,122,-2.1,28.2,,2.4,1.01,Europe,Hungarian,9850845
Jamaica,76,5.3109998703,0.9255793095,1.3682180643,0.6410223842,0.4743072391,0.2338183373,0.055267781,1.6123256683,45,103,1.3,35,,4.4,0.82,Central America and the Caribbean,English,2990561
Croatia,77,5.2930002213,1.2225562334,0.9679830074,0.7012885213,0.2557722926,0.2480029762,0.04310311,1.8544924259,72.7,101,-0.5,30.8,,1.1,1.27,Europe,Croatian,4292095
Kosovo,78,5.2789998055,0.9514843822,1.1378535032,0.5414520502,0.2602879405,0.3199314475,0.0574716181,2.0105407238,,31,-2.2,23.2,,1.5,0.79,Europe,Albanian,1895250
China,79,5.2729997635,1.0811657906,1.1608374119,0.7414155006,0.472787708,0.028806841,0.0227942746,1.7649385929,53.2,107,-4.3,46.5,,1.6,1.9,Asia,Standard Chinese or Mandarin,1379302771
Pakistan,80,5.2690000534,0.7268835306,0.6726906896,0.4020477831,0.2352152616,0.3154460192,0.1243480667,2.7924892902,15.5,71,-4.9,30.7,,4.1,3.56,Asia,Punjabi,204924861
Indonesia,81,5.2620000839,0.9955385923,1.2744446993,0.4923457205,0.4433234632,0.6117045879,0.0153171355,1.4294769764,25.4,176,-4.3,36.8,,3.8,0.84,Southeast Asia,Bahasa Indonesia,260580739
Venezuela,82,5.25,1.128431201,1.431337595,0.617144227,0.1539971232,0.0650196299,0.064491123,1.7894637585,60,78,-38.1,39,,1087.5,1,South America,Spanish,31304016
Montenegro,83,5.2369999886,1.1211290359,1.2383764982,0.6674646735,0.1949890554,0.1979110241,0.0881741941,1.7291915417,69.9,163,-6.1,31.9,,2.4,1.7,Europe,Serbian,642550
Morocco,84,5.2350001335,0.8781145811,0.7748644352,0.597710669,0.4081583321,0.0322099552,0.0877631828,2.456189394,58.3,129,-3.7,40.9,,0.8,3.28,Africa,Arabic,33986655
Azerbaijan,85,5.234000206,1.1536017656,1.1524002552,0.5407757759,0.3981558383,0.0452693403,0.1809875071,1.7624816895,78.2,102,-1.4,33.7,,13,3.64,Asia,Azerbaijani,9961396
Dominican Republic,86,5.2300000191,1.0793738365,1.4024167061,0.5748737454,0.5525898337,0.1869678497,0.1139452532,1.3194651604,61.3,82,-2.1,47.1,,3.3,0.64,Central America and the Caribbean,Spanish,10734247
Greece,87,5.2270002365,1.2894874811,1.2394145727,0.8101989031,0.0957312509,0,0.0432897769,1.7492215633,69.1,120,-1.3,36.7,,1.1,2.4,Europe,Greek,10768477
Lebanon,88,5.2249999046,1.0749875307,1.1296242476,0.7350810766,0.288515985,0.2644507587,0.0375138298,1.695073843,76.1,79,-9.7,,,4.5,2.91,Middle East,Arabic,6229794
Portugal,89,5.1950001717,1.3151752949,1.3670430183,0.7958435416,0.4984652996,0.0951027125,0.0158694517,1.1076827049,70.4,109,-1.8,33.9,,1.6,1.84,Europe,Portuguese,10839514
Bosnia and Herzegovina,90,5.1820001602,0.9824094176,1.0693359375,0.7051863074,0.2044031769,0.3288674951,0,1.892172575,69.3,89,-1.1,33.8,,1.3,0.99,Europe,Bosnian,3856181
Honduras,91,5.1810002327,0.7305731177,1.1439449787,0.5825694799,0.3480798602,0.2361888736,0.0733454525,2.0658111572,30,91,-3.1,47.1,,3.9,1.59,Central America and the Caribbean,Spanish,9038741
Macedonia,92,5.1750001907,1.0645779371,1.207893014,0.6449481845,0.3259059787,0.2537609637,0.0602777936,1.6174693108,,101,-3,33.7,,1.4,0.9,Europe,Macedonian,2103721
Somalia,93,5.1510000229,0.0226431843,0.7211513519,0.1139891371,0.602126956,0.2916313112,0.2824103236,3.1174845695,1.9,60,-0.1,,,1.5,,Africa,Somali,11031386
Vietnam,94,5.0739998817,0.7885475755,1.2774913311,0.6521689892,0.5710555911,0.2349680513,0.0876332372,1.4623186588,52.7,125,-2.3,34.8,,3.5,2.44,Southeast Asia,Vietnamese,96160163
Nigeria,95,5.0739998817,0.7837562561,1.215770483,0.0569157302,0.3949525654,0.2309471965,0.0261215661,2.3653905392,25.7,76,-2.1,48.8,,16.5,0.43,Africa,English,190632261
Tajikistan,96,5.0409998894,0.5247136354,1.271463275,0.5292351246,0.4715667069,0.2489976436,0.1463771462,1.8490493298,20.5,111,-1.4,32.6,,7.3,1.19,Asia,Tajik,8468555
Bhutan,97,5.0110001564,0.8854163885,1.3401265144,0.4958792925,0.5015376806,0.4740545452,0.1733803898,1.1401844025,41.8,96,-5.4,38.8,,3.4,,Asia,Sharchhopka,758288
Kyrgyzstan,98,5.0040001869,0.5962200761,1.3942385912,0.5534577966,0.4549433887,0.4285803735,0.039439179,1.5367231369,34.5,127,-3.6,33.4,,3.2,3.15,Asia,Kyrgyz,5789122
Nepal,99,4.9619998932,0.4798201919,1.1792832613,0.5041307807,0.4403059483,0.3940961659,0.0729755461,1.8912410736,19.7,109,-9.8,32.8,,4.5,1.52,Asia,Nepali,29384297
Mongolia,100,4.9549999237,1.0272358656,1.4930112362,0.5577834845,0.3941439688,0.3384642303,0.0329022892,1.1112923622,22.3,127,-6.4,34,,4.6,0.92,Asia,Mongolian,3068243
South Africa,101,4.8289999962,1.0546987057,1.3847886324,0.1870800704,0.4792467356,0.1393623799,0.0725094974,1.5109086037,54,168,-3.2,62.5,,5.3,1.07,Africa,isiZulu,54841552
Tunisia,102,4.8049998283,1.0072658062,0.8683514595,0.613212049,0.2896806896,0.0496933572,0.0867231488,1.8902511597,50.9,126,-4.8,40,,5.3,2.32,Africa,Arabic,11403800
Palestinian Territories,103,4.7750000954,0.7162492275,1.1556471586,0.5656669736,0.2547110617,0.1141731739,0.0892826021,1.878890276,57.4,150,0.4,34.5,,0.8,,Middle East,Arabic,2747943
Egypt,104,4.7350001335,0.9897018075,0.9974713922,0.5201872587,0.2821101546,0.1286314428,0.1143813655,1.7021610737,39.2,106,-10.8,31.8,,23.5,2,Africa,Arabic,97041072
Bulgaria,105,4.7140002251,1.1614590883,1.4343794584,0.7082176805,0.2892317176,0.1131776944,0.0110515309,0.9961392879,59.8,120,0.8,40.2,,1.2,1.53,Europe,Bulgarian,7101510
Sierra Leone,106,4.7090001106,0.3684209287,0.984136045,0.0055647539,0.318697691,0.2930409014,0.071095176,2.6684598923,11.8,102,-7.1,34,,18,0.81,Africa,English,6163195
Cameroon,107,4.6950001717,0.5643053651,0.946018219,0.1328921169,0.4303887486,0.2362984568,0.0513066314,2.3336455822,25,79,-5.9,44.6,,0.6,1.6,Africa,major African language groups,24994885
Iran,108,4.6919999123,1.156873107,0.711551249,0.6393331885,0.2493226081,0.3872429132,0.0487610735,1.498734951,44.1,106,-2.1,44.5,,9.9,2.69,Middle East,Persian,82021564
Albania,109,4.6440000534,0.9961927533,0.8036852479,0.7311597466,0.3814986348,0.2013129443,0.039864216,1.4904415607,66.4,115,-2.1,29,,2,1.22,Europe,Albanian,3047987
Bangladesh,110,4.6079998016,0.5866829753,0.7351317406,0.5332410336,0.4783566594,0.1722553521,0.1237178594,1.9787361622,18.2,92,-5,32.1,,5.7,1.44,Asia,Bangla,157826578
Namibia,111,4.5739998817,0.9644343257,1.0984708071,0.3386118114,0.5203035474,0.077133745,0.0931469724,1.4818902016,31,107,-6.3,59.7,,6.1,4.44,Africa,Oshivambo languages,2484780
Kenya,112,4.5529999733,0.5604794621,1.0679507256,0.3099883497,0.4527637661,0.4448603094,0.0646413192,1.6519021988,26,90,-11.7,48.5,,8,1.4,Africa,English,47615739
Mozambique,113,4.5500001907,0.23430565,0.870701015,0.1066544354,0.4807910919,0.3222281039,0.1794363856,2.3556509018,17.5,45,-6.9,45.6,,15.3,1.03,Africa,Emakhuwa,26573706
Myanmar,114,4.5450000763,0.3671105504,1.1232359409,0.3975225687,0.5144920349,0.838075161,0.1888162047,1.1152904034,25.1,87,-3.3,,,5.1,4.08,Southeast Asia,Burmese,55123814
Senegal,115,4.5349998474,0.4793090224,1.1796919107,0.4093628526,0.3779222667,0.1834688932,0.115460448,1.7896461487,25.7,107,-3.8,40.3,,1.4,1.89,Africa,French,14668522
Zambia,116,4.513999939,0.6364067793,1.0031872988,0.2578358948,0.4616034925,0.2495801449,0.0782135502,1.8267054558,25.5,84,-8.4,57.5,,6.6,1.53,Africa,Bemba,15972001
Iraq,117,4.4970002174,1.1027104855,0.9786131978,0.50118047,0.2885555327,0.199637264,0.1072157547,1.3189072609,21.2,85,-11,,,0.1,3.63,Middle East,Arabic,39192111
Gabon,118,4.4650001526,1.1982102394,1.1556202173,0.3565785885,0.312328577,0.0437853783,0.0760467872,1.3229162693,48.1,150,-6,42.2,,3,1.43,Africa,French,1772255
Ethiopia,119,4.4600000381,0.3392338455,0.8646692038,0.3534097075,0.4088427424,0.3126507401,0.1654557139,2.0157437325,15.4,59,-3.2,33,,9.9,0.67,Africa,Oromo,105350020
Sri Lanka,120,4.4400000572,1.0098501444,1.259976387,0.6251308322,0.5612132549,0.4908635616,0.0736539662,0.4193892479,32.1,126,-4.8,39.2,,6.5,2.14,Asia,Sinhala,22409381
Armenia,121,4.3759999275,0.9005967379,1.0074837208,0.637524426,0.1983032674,0.0834880918,0.0266744215,1.521499157,62,115,-3.4,31.5,,0.9,4.09,Asia,Armenian,3045191
India,122,4.3150000572,0.7922212481,0.7543725967,0.4554276168,0.469987005,0.2315384895,0.0922268853,1.5191171169,29.5,91,-4.1,35.2,,3.6,2.47,Asia,Hindi,1281935911
Mauritania,123,4.2919998169,0.6484572887,1.2720308304,0.2853492796,0.096098043,0.2018700242,0.1369570047,1.6516373158,18,108,-1.1,37,,2.3,2.97,Africa,Arabic,3758571
Congo (Brazzaville),124,4.2909998894,0.8089642525,0.832044363,0.2899574339,0.4350258708,0.1208521277,0.0796181336,1.7241356373,7.6,102,-10.5,48.9,,0.5,7.17,Africa,French,4954674
Georgia,125,4.2859997749,0.9506126642,0.570614934,0.6495469809,0.3094100356,0.0540088154,0.2516666353,1.5001378059,50,116,-3.9,40.1,,6,2.23,Asia,Georgian,4926330
Congo (Kinshasa),126,4.2800002098,0.0921023488,1.2290234566,0.1914070249,0.2359613478,0.2464558333,0.0602413565,2.2249586582,3.8,42,-0.3,42.1,,41.5,1.34,Africa,French,83301151
Mali,127,4.1900000572,0.4761804938,1.2814733982,0.1693656743,0.3066137433,0.1833541989,0.1049702466,1.6681909561,11.1,113,-3.4,40.1,,1.8,2.63,Africa,French,17885245
Ivory Coast,128,4.1799998283,0.6030489206,0.9047800303,0.0486421697,0.4477061927,0.2012374699,0.1300617754,1.8449642658,26.5,131,-4.4,41.5,,0.8,1.18,Africa,French,24184810
Cambodia,129,4.1680002213,0.6017650962,1.0062383413,0.4297834039,0.6333758235,0.3859229684,0.068105951,1.0429410934,25.6,115,-1.9,37.9,,2.9,1.85,Southeast Asia,Khmer,16204486
Sudan,130,4.138999939,0.6595166922,1.2140085697,0.2909208238,0.0149958553,0.1823174506,0.08984752,1.6870658398,28,77,-4.4,,,32.4,,Africa,Arabic,37345935
Ghana,131,4.1199998856,0.6672248244,0.8736647367,0.2956377268,0.4230262935,0.2569239438,0.0253363699,1.5778675079,34.7,134,-6.9,42.3,,12.4,0.4,Africa,Asante,27499924
Ukraine,132,4.0960001945,0.8946519494,1.3945375681,0.5759039521,0.1229747757,0.2700614631,0.0230294708,0.8143823147,52.5,127,-3.2,25.5,,14.4,3.5,"Asia, Europe",Ukrainian,44033874
Uganda,133,4.0809998512,0.3814307153,1.1298277378,0.2176326066,0.4431859553,0.3257660568,0.0570697188,1.5263626575,45.9,63,-1.1,39.5,,5.6,1.57,Africa,English,39570125
Burkina Faso,134,4.0320000648,0.3502277136,1.0432800055,0.2158442587,0.324367851,0.2508646846,0.120328106,1.7272129059,14,89,-5.3,39.5,,0.4,1.23,Africa,French,20107509
Niger,135,4.0279998779,0.1619253308,0.9930250049,0.268505007,0.3636586964,0.2286738455,0.1385729462,1.8739833832,4.3,46,-4.4,34,,2.4,4,Africa,French,19245344
Malawi,136,3.9700000286,0.2334420383,0.5125688314,0.3150895834,0.4669146538,0.2871704698,0.072711654,2.0817861557,9.6,40,-3.9,46.1,,11.5,0.61,Africa,English,19196246
Chad,137,3.9360001087,0.4380129874,0.9538558722,0.0411347151,0.1623420268,0.2161138505,0.0535818823,2.0712380409,5,52,-3.5,43.3,,-0.9,2.79,Africa,French,12075985
Zimbabwe,138,3.875,0.375846535,1.0830959082,0.1967637539,0.336384207,0.1891434938,0.0953753814,1.5979702473,23.1,102,-7,43.2,,1.3,2.2,Africa,Shona,13805084
